speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide	
finf6	e		474.9248347906	1706.5513995703	2786.6766732997			
finf6	E		440.3391063315	1838.9282908047	2651.962201118			
finf6	a		911.3280660349	1284.7895291662	2776.7953757181			
finf6	i		302.9222625839	2781.2742024722	3002.1370982326			
finf6	A		917.3463126795	1299.186289784	2863.555450958			
finf6	A		854.1468744527	1332.2997639311	2763.2344369651			
finf6	i		344.449395148	1590.3851334087	2901.0174265813			
finf6	i		383.874747516	2847.2374573366	3250.8620100971			
finf6	O		467.0319046797	1245.6676688011	2877.6526680994			
finf6	a		985.8468193304	1551.3555447212	3012.8442430789			
finf6	O		583.3644419493	1176.1769716256	2704.6938504452			
finf6	o		502.8795977659	1178.0306633889	2500.3523509387			
finf6	i		331.8927110959	2766.7542017389	3971.6038010204			
finf6	E		671.6509224734	1761.424350479	2849.4863541213			
finf6	o		473.6496458611	1295.9639088234	2757.9186460739			
finf6	O		430.3016662942	1101.0060319675	2639.2094442877			
finf6	i		284.0102506582	2711.7665018929	3295.1153851758			
finf6	i		361.3786822735	2382.2729755539	2753.5801103502			
finf6	u		355.210043913	1260.8851768501	2767.3697603006			
finf6	I		348.324550314	2620.5603160993	3208.2456889239			
finf6	e		569.4639316218	1815.0439408552	2517.833268657			
finf6	O		536.5106933491	1076.0980541581	2807.7667106046			
finf6	i		355.795801589	2206.8434972499	2791.4883650999			
finf6	i		371.3058996602	2701.5479355894	3244.4157587196			
finf6	E		729.4822413243	1951.3592818743	3165.216140071			
finf6	a		687.1921736971	1228.3246422031	2937.9563623418			
finf6	A		913.2065299274	1305.8471103816	2663.711076353			
finf6	a		1045.8672604564	1425.1757013869	3558.6537789541			
finf6	U		501.542359693	1281.5530413243	2981.669511245			
finf6	i		354.3817179224	2609.4941796928	3142.9963450598			
finf6	i		376.8210910977	2691.4125341148	2937.801486433			
finf6	O		573.3813187403	1033.9616881838	2931.3034657122			
finf6	i		369.6252494999	2521.1025254857	3054.781315325			
finf6	I		379.0644063847	2717.9683489183	3426.3857344221			
finf6	o		551.0208129131	1147.8762661256	2586.6172079845			
finf6	a		644.2492395591	1301.3350956222	2660.4255489982			
finf6	u		321.5410673555	1206.4949619226	2286.4159568201			
finf6	A		849.8162127404	1396.8856375241	2671.4411640458			
finf6	e		483.4169746767	1948.2459443682	2884.6909082658			
finf6	E		574.8153548742	2091.93126141	3013.6498230113			
finf6	e		541.1960590667	1842.1277689352	2933.8039901364			
finf6	U		407.8563208551	1425.387565506	2996.2169238279			
finf6	e		714.926436535	1836.5370413469	2649.4349901483			
finf6	u		364.5471203105	1267.6544846432	2673.1355044605			
finf6	I		317.9064669488	2676.944916556	3274.8884228183			
finf6	a		645.6395782834	1562.4742268075	2873.1595710405			
finf6	I		345.5721626832	2661.3979867706	3439.3274400399			
finf6	o		548.6484194195	1108.3458267991	2967.036509508			
finf6	I		358.7286778301	2595.815378219	3418.7660844066			
finf6	o		500.6640226521	1333.2488637026	2734.4212067688			
finf6	A		942.4221840894	1257.0216479522	2659.7215978709			
finf6	a		1031.4784696954	1447.2156964766	3333.4793574827			
finf6	u		358.5589647322	838.571252273	2519.5372433287			
finf6	I		344.6167302873	2602.9473287385	3177.8538095439			
finf6	e		504.9890005482	1004.7596552844	1787.8404347009			
